area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Kothanur,4 Bedroom,Kothanur,1600,4.0,3.0,250.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Electronics City Phase 1,1321,2.0,0.0,40.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Kanakpura Road,1570,3.0,2.0,68.0
Built-up  Area,Ready To Move,Hessarghatta,8 Bedroom,Hessarghatta,1150,8.0,0.0,70.0
Super built-up  Area,Ready To Move,Nallurhalli,2 BHK,Nallurhalli,1053,2.0,3.0,44.0
Super built-up  Area,Ready To Move,Hoysalanagar,3 BHK,Hoysalanagar,1325,2.0,3.0,56.0
Super built-up  Area,18-Nov,manyata,2 BHK,manyata,1169,2.0,1.0,50.11
Super built-up  Area,20-Jan,Badavala Nagar,2 BHK,Badavala Nagar,1274,2.0,1.0,90.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1317,2.0,2.0,52.0
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,Lakshminarayana Pura,1195,2.0,1.0,75.0
Super built-up  Area,18-Nov,Whitefield,4 BHK,Whitefield,2528 - 3188,4.0,0.0,137.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Kammasandra,940,2.0,2.0,35.0
Built-up  Area,Ready To Move,Budigere,3 BHK,Budigere,1820,3.0,2.0,95.5
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Kanakpura Road,1450,3.0,3.0,53.6
Built-up  Area,Ready To Move,Whitefield,3 BHK,Whitefield,1615,3.0,0.0,96.9
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Nagarbhavi,2200,2.0,3.0,99.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Subramanyapura,985,2.0,1.0,62.5
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Electronics City Phase 1,1116,2.0,1.0,33.0
Super built-up  Area,Ready To Move,Attibele,2 BHK,Attibele,656,2.0,1.0,25.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Kaggadasapura,1105,2.0,1.0,39.5
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1220,2.0,1.0,55.0
Built-up  Area,Ready To Move,Hoodi,3 BHK,Hoodi,1400,3.0,2.0,74.0
Built-up  Area,Ready To Move,Bhuvaneswari Nagar,4 Bedroom,Bhuvaneswari Nagar,2400,3.0,0.0,185.0
Plot  Area,Ready To Move,Anandapura,3 Bedroom,Anandapura,850,3.0,0.0,63.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1000,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Bannerghatta Road,1660,3.0,3.0,80.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Uttarahalli,1330,2.0,1.0,57.0
Super built-up  Area,18-May,Old Madras Road,2 BHK,Old Madras Road,1165,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,Budigere,1153,2.0,2.0,56.0
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Bannerghatta Road,1270,2.0,2.0,45.0
Super built-up  Area,18-Aug,2nd Phase JP Nagar,2 BHK,2nd Phase JP Nagar,1070,2.0,2.0,38.0
Built-up  Area,Ready To Move,RWF West Colony,3 BHK,RWF West Colony,1427,2.0,0.0,85.0
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Banashankari Stage III,1420,2.0,2.0,95.0
Plot  Area,Ready To Move,Kothanur,4 Bedroom,Kothanur,1600,5.0,0.0,130.0
Super built-up  Area,Ready To Move,Langford Town,2 BHK,Langford Town,2031,2.0,2.0,200.0
Super built-up  Area,19-Jul,Bellandur,2 BHK,Bellandur,1454,2.0,1.0,90.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1116,2.0,3.0,48.76
Plot  Area,Ready To Move,Maruthi Sevanagar,4 Bedroom,Maruthi Sevanagar,2000,3.0,1.0,180.0
Super built-up  Area,18-Jul,Sarjapur  Road,2 BHK,Sarjapur  Road,1346,2.0,1.0,74.03
Super built-up  Area,Ready To Move,Hessarghatta,2 BHK,Hessarghatta,1062,2.0,1.0,50.0
Super built-up  Area,Ready To Move, Mysore Highway,1 BHK, Mysore Highway,700,1.0,1.0,25.5
Super built-up  Area,19-Dec,JP Nagar,2 BHK,JP Nagar,1405,2.0,1.0,99.0
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Doddathoguru,1100,2.0,2.0,50.0
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,Chikka Tirupathi,2153,4.0,3.0,120.0
Plot  Area,Ready To Move,Kammagondahalli,3 Bedroom,Kammagondahalli,1200,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,Ulsoor,2135,3.0,2.0,170.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1125,2.0,1.0,47.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,2nd Phase Judicial Layout,1350,2.0,2.0,47.25
Built-up  Area,Ready To Move,Pai Layout,2 BHK,Pai Layout,1068,2.0,3.0,48.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Doddathoguru,940,2.0,1.0,32.9
Super built-up  Area,18-May,Hosa Road,2 BHK,Hosa Road,1063,2.0,1.0,32.79
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Brookefield,1382,2.0,2.0,84.5
Super built-up  Area,Ready To Move,Harlur,2 BHK,Harlur,936,2.0,1.0,45.0
Super built-up  Area,Ready To Move,KR Puram,3 BHK,KR Puram,1400,2.0,3.0,60.0
Super built-up  Area,20-Aug,Sarjapur  Road,1 BHK,Sarjapur  Road,475,1.0,1.0,26.0
Super built-up  Area,Ready To Move,LIC Colony,2 BHK,LIC Colony,1200,2.0,1.0,115.0
Super built-up  Area,Ready To Move,Glass Factory Layout,3 BHK,Glass Factory Layout,1450,3.0,3.0,65.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Kudlu,1162,2.0,1.0,52.0
Super built-up  Area,18-Dec,Hosa Road,2 BHK,Hosa Road,1161,2.0,1.0,48.75
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Green Glen Layout,1623.29,2.0,2.0,105.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Brookefield,1260,2.0,1.0,70.0
Plot  Area,Ready To Move,Billekahalli,4 Bedroom,Billekahalli,1672,3.0,2.0,190.0
Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Seegehalli,3000,4.0,2.0,240.0
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,Murugeshpalya,1500,2.0,0.0,70.0
Super built-up  Area,20-Jun,Budigere,1 BHK,Budigere,650 - 760,1.0,0.0,34.545
Plot  Area,Ready To Move,Gaurava Nagar,5 Bedroom,Gaurava Nagar,1650,6.0,0.0,200.0
Super built-up  Area,Ready To Move,Dollars Colony,3 BHK,Dollars Colony,2000,3.0,3.0,200.0
Plot  Area,Ready To Move,Thyagaraja Nagar,1 Bedroom,Thyagaraja Nagar,1675,1.0,0.0,241.0
Plot  Area,Ready To Move,Electronic City,3 Bedroom,Electronic City,1200,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,Nagarbhavi,1100,2.0,2.0,46.2
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Whitefield,1400,2.0,3.0,56.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,Ramagondanahalli,2257,3.0,2.0,155.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,Budigere,1153,2.0,2.0,56.5
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Sarjapur  Road,1197,2.0,1.0,56.86
Super built-up  Area,Ready To Move,Siddapura,2 BHK,Siddapura,1150,2.0,2.0,90.0
Super built-up  Area,20-Dec,Akshayanagara East,1 BHK,Akshayanagara East,595,1.0,1.0,40.0
Super built-up  Area,21-Jul,Hoodi,3 BHK,Hoodi,1837,3.0,1.0,110.0
Plot  Area,Ready To Move,Kumbalgodu,4 Bedroom,Kumbalgodu,3750,4.0,0.0,190.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Bellandur,1830,3.0,3.0,91.86
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Green Glen Layout,1715,3.0,3.0,115.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,970,2.0,1.0,35.0
Plot  Area,Ready To Move,Hebbal Kempapura,4 Bedroom,Hebbal Kempapura,1200,3.0,2.0,148.0
Built-up  Area,Ready To Move,NRI Layout,4 Bedroom,NRI Layout,2700,5.0,1.0,95.75
Plot  Area,Ready To Move,Siddapura,3 Bedroom,Siddapura,5480,4.0,2.0,400.0
Built-up  Area,Ready To Move,Vidyaranyapura,4 BHK,Vidyaranyapura,2400,5.0,1.0,135.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Sarjapur  Road,3040,4.0,2.0,135.0
Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2 BHK,Raja Rajeshwari Nagar,1168,2.0,1.0,66.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Begur Road,1160,2.0,2.0,36.54
Built-up  Area,Ready To Move,Mallappa Layout,3 BHK,Mallappa Layout,1500,3.0,2.0,75.0
Plot  Area,Ready To Move,Kumaraswami Layout,2 Bedroom,Kumaraswami Layout,600,2.0,1.0,72.0
Plot  Area,Ready To Move,5th Phase JP Nagar,8 Bedroom,5th Phase JP Nagar,1200,7.0,3.0,250.0
Super built-up  Area,18-Dec,ITPL,2 BHK,ITPL,850,2.0,1.0,25.4
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Ramamurthy Nagar,935,2.0,2.0,39.0
Plot  Area,Ready To Move,Ullal Road,5 Bedroom,Ullal Road,1200,5.0,1.0,235.0
Super built-up  Area,18-Apr,Doddaballapur,1 BHK,Doddaballapur,654,1.0,1.0,49.0
Built-up  Area,Ready To Move,Domlur,3 BHK,Domlur,1650,3.0,1.0,180.0
Plot  Area,Ready To Move,Dodsworth Layout,3 Bedroom,Dodsworth Layout,5656,5.0,0.0,499.0
Super built-up  Area,Ready To Move,Vinayak Nagar,2 BHK,Vinayak Nagar,1300,2.0,1.0,33.0
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Kaggalipura,950,2.0,1.0,60.0
Super built-up  Area,18-May,Silk Board,3 BHK,Silk Board,1250,3.0,2.0,54.0
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,Doddakallasandra,1072,2.0,1.0,42.87
Super built-up  Area,Ready To Move,Ankappa Layout,3 BHK,Ankappa Layout,1425,2.0,2.0,65.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1165,1.0,0.0,42.09
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Kathriguppe,1390,2.0,2.0,69.49
Built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Kalena Agrahara,1510,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Thanisandra,1305,2.0,2.0,90.0
Plot  Area,Ready To Move,Vidyaranyapura,6 Bedroom,Vidyaranyapura,1200,6.0,2.0,170.0
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Kodigehaali,866,2.0,2.0,32.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Hulimavu,1231,2.0,1.0,84.5
Super built-up  Area,Ready To Move,Sompura,3 BHK,Sompura,1360,2.0,3.0,45.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Yeshwanthpur,2500,3.0,3.0,138.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1140,2.0,3.0,55.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,Kanakpura Road,525,1.0,1.0,30.0
Super built-up  Area,19-Sep,Whitefield,2 BHK,Whitefield,1295,2.0,1.0,64.5
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Hormavu,1020,2.0,2.0,45.75
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Old Airport Road,3504,4.0,0.0,262.0
Plot  Area,Ready To Move,Sidedahalli,2 Bedroom,Sidedahalli,1200,1.0,0.0,50.0
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,Vidyaranyapura,1100,2.0,1.0,41.0
Plot  Area,19-Dec,Bannerghatta Road,4 Bedroom,Bannerghatta Road,4723,4.0,3.0,500.0
Super built-up  Area,Ready To Move,Kothannur,2 BHK,Kothannur,820,2.0,2.0,37.0
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Sarjapur,3508,4.0,1.0,386.0
Plot  Area,Ready To Move,Versova Layout,4 Bedroom,Versova Layout,3700,4.0,2.0,400.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Kalena Agrahara,1354,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Basavangudi,4 BHK,Basavangudi,2453,3.0,2.0,250.0
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,Garudachar Palya,1154,2.0,1.0,51.8
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,7th Phase JP Nagar,1680,2.0,3.0,92.0
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Electronics City Phase 1,1205,2.0,2.0,60.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Raja Rajeshwari Nagar,1400,2.0,2.0,86.0
Carpet  Area,Ready To Move,Doopanahalli,3 BHK,Doopanahalli,1625,3.0,1.0,150.0
Built-up  Area,Ready To Move,Electronic City,3 Bedroom,Electronic City,1500,3.0,1.0,73.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Bannerghatta Road,1520,2.0,3.0,80.0
Built-up  Area,Ready To Move,3rd Stage Raja Rajeshwari Nagar,2 BHK,3rd Stage Raja Rajeshwari Nagar,1300,3.0,1.0,65.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,Manayata Tech Park,1150,2.0,2.0,47.0
Super built-up  Area,18-Apr,Kadugodi,3 BHK,Kadugodi,1762,3.0,3.0,109.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,Budigere,1153,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,Yelahanka,2650,4.0,1.0,223.0
Super built-up  Area,Ready To Move,Sompura,3 BHK,Sompura,1350,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Billekahalli,950,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Jakkur,3295,3.0,3.0,310.0
Super built-up  Area,Ready To Move,Coconut Grove Layout,3 BHK,Coconut Grove Layout,1515,3.0,3.0,80.5
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,Neeladri Nagar,1100,2.0,2.0,30.0
Super built-up  Area,Ready To Move,Byrasandra,2 BHK,Byrasandra,1250,2.0,2.0,65.0
Built-up  Area,Ready To Move,HBR Layout,2 Bedroom,HBR Layout,1200,2.0,0.0,120.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,7 BHK,5th Phase JP Nagar,2500,8.0,3.0,95.0
Plot  Area,Ready To Move,Hoskote,4 Bedroom,Hoskote,1200,4.0,2.0,100.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Yelahanka,1355,2.0,2.0,51.5
Super built-up  Area,18-May,Dominic Layout,3 BHK,Dominic Layout,1115,3.0,1.0,39.14
Super built-up  Area,18-Apr,8th Phase JP Nagar,3 BHK,8th Phase JP Nagar,1275,3.0,2.0,45.0
Super built-up  Area,19-Sep,Padmanabhanagar,3 BHK,Padmanabhanagar,2051,3.0,2.0,170.0
Super built-up  Area,Ready To Move,BTM Layout,3 BHK,BTM Layout,1470,2.0,2.0,99.0
Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,Silver Springs Layout,1550,2.0,3.0,70.0
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Bannerghatta Road,1270,2.0,1.0,73.0
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Bhoganhalli,2119,4.0,2.0,111.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Hebbal Kempapura,1600,3.0,3.0,170.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Kudlu Gate,1320,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,3 BHK,Gopalkrishna Nagar,2505,3.0,0.0,165.0
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Tejaswini Nagar,1410,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1200,2.0,3.0,70.0
Super built-up  Area,18-Oct,Chennammana Kere,3 BHK,Chennammana Kere,1705,2.0,1.0,86.96
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,995,2.0,1.0,48.0
Built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Horamavu Banaswadi,1081,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Parappana Agrahara,1194,2.0,2.0,46.0
Super built-up  Area,18-Dec,Sonnenahalli,1 BHK,Sonnenahalli,605,1.0,1.0,30.24
Built-up  Area,Ready To Move,Yelahanka,1 BHK,Yelahanka,567,1.0,1.0,25.0
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Rajaji Nagar,1718,3.0,2.0,275.0
Super built-up  Area,20-Dec,Banashankari Stage VI,3 BHK,Banashankari Stage VI,1400 - 1421,2.0,0.0,70.385
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,3 Bedroom,2nd Stage Nagarbhavi,600,5.0,1.0,135.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Green Glen Layout,1715,3.0,2.0,105.0
Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,Doddaballapur,3206,5.0,0.0,270.0
Plot  Area,Ready To Move,Kundalahalli,4 Bedroom,Kundalahalli,1500,4.0,0.0,235.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Bannerghatta Road,1846,3.0,2.0,120.0
Plot  Area,Ready To Move,Coconut Garden,3 Bedroom,Coconut Garden,600,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1015,2.0,3.0,56.0
Plot  Area,Ready To Move,Dollars Colony,4 Bedroom,Dollars Colony,4350,8.0,0.0,2600.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Thanisandra,1100,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Thanisandra,1965,4.0,2.0,125.0
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,NGR Layout,1021,2.0,2.0,45.9
Super built-up  Area,18-Apr,Haralur Road,2 BHK,Haralur Road,1230,2.0,1.0,67.65
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1260,2.0,2.0,55.0
Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,Indira Nagar,2400,4.0,1.0,700.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Lingadheeranahalli,1894,4.0,1.0,114.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,2nd Stage Nagarbhavi,1500,4.0,2.0,233.0
Super built-up  Area,20-Jun,Jakkur,3 BHK,Jakkur,1950,3.0,2.0,131.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,Sector 2 HSR Layout,1231,2.0,3.0,66.0
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Mahadevpura,1236,2.0,1.0,58.0
Built-up  Area,Ready To Move,R.T. Nagar,4 BHK,R.T. Nagar,1800,3.0,0.0,120.0
Super built-up  Area,Ready To Move,KAMAKIYA,3 BHK,KAMAKIYA,1650,3.0,2.0,135.0
Plot  Area,Ready To Move,Kirloskar Layout,5 Bedroom,Kirloskar Layout,750,3.0,1.0,88.0
Super built-up  Area,Ready To Move,Begur,3 BHK,Begur,1443,2.0,2.0,70.0
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,Ramamurthy Nagar,886,4.0,2.0,120.0
Super built-up  Area,Ready To Move,Wheelers Road,2 BHK,Wheelers Road,925,2.0,1.0,68.0
Super built-up  Area,18-Sep,Chandapura,3 BHK,Chandapura,1305,3.0,1.0,33.28
Super built-up  Area,Ready To Move,Alfa Garden Layout,2 BHK,Alfa Garden Layout,1190,2.0,2.0,46.41
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1284,2.0,2.0,53.36
Plot  Area,Ready To Move,MM Layout,4 Bedroom,MM Layout,350,3.0,1.0,45.0
Plot  Area,Ready To Move,Palace Guttahalli,3 Bedroom,Palace Guttahalli,875,3.0,1.0,115.0
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Chikkalasandra,1325,2.0,1.0,59.0
Plot  Area,Ready To Move,Sector 6 HSR Layout,6 Bedroom,Sector 6 HSR Layout,2400,5.0,2.0,750.0
Super built-up  Area,18-Jun,Kudlu Gate,2 BHK,Kudlu Gate,1183,2.0,1.0,79.54
Built-up  Area,Ready To Move,Rajiv Gandhi Nagar,3 BHK,Rajiv Gandhi Nagar,1750,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Nagashetty Halli,4 BHK,Nagashetty Halli,16335,4.0,2.0,149.0
Super built-up  Area,Ready To Move,Doddagubbi,1 BHK,Doddagubbi,747,1.0,2.0,27.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,1342,2.0,1.0,90.0
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Motappa Layout,1113,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Devarabeesana Halli,3 BHK,Devarabeesana Halli,1738,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Brookefield,1206,2.0,0.0,90.0
Super built-up  Area,19-Mar,Hebbal,4 BHK,Hebbal,2790,4.0,3.0,198.0
Super built-up  Area,18-Mar,Hebbal,2 BHK,Hebbal,1162,2.0,1.0,59.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Parappana Agrahara,1194,2.0,2.0,46.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Sarjapur  Road,1857,4.0,3.0,155.0
Built-up  Area,Ready To Move,Kattigenahalli,6 Bedroom,Kattigenahalli,3500,6.0,0.0,115.0
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Rajaji Nagar,1763,3.0,2.0,240.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1150,2.0,1.0,45.99
Plot  Area,Ready To Move,Koramangala,4 Bedroom,Koramangala,2400,5.0,3.0,550.0
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Chikkalasandra,1290,2.0,2.0,72.0
Built-up  Area,Ready To Move,Thubarahalli,4 BHK,Thubarahalli,3408,5.0,0.0,145.0
Built-up  Area,Ready To Move,HBR Layout,2 Bedroom,HBR Layout,900,2.0,1.0,145.0
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Sanjay nagar,1150,2.0,0.0,70.0
Plot  Area,Ready To Move,Banashankari,3 Bedroom,Banashankari,1040,2.0,1.0,109.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Yeshwanthpur,1160,2.0,2.0,64.08
Super built-up  Area,Ready To Move,Soundarya Layout,2 BHK,Soundarya Layout,900,2.0,2.0,27.0
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Sarjapur  Road,1750,3.0,1.0,185.0
Built-up  Area,18-Dec,Electronic City,3 BHK,Electronic City,1320,2.0,1.0,38.12
Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,Lingadheeranahalli,2240,4.0,2.0,160.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Electronics City Phase 1,891,2.0,1.0,26.0
Plot  Area,Ready To Move,Udaya Nagar,5 Bedroom,Udaya Nagar,1000,4.0,3.0,80.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,Ambedkar Nagar,1852,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Chandapura,1323,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Vittasandra,1404,2.0,1.0,67.5
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Dodda Nekkundi,1370,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Uttarahalli,1385,2.0,2.0,48.48
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Gollarapalya Hosahalli,1129,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Mahalakshmi Layout,3 BHK,Mahalakshmi Layout,1876,3.0,1.0,150.0
Super built-up  Area,Ready To Move,Brooke Bond First Cross,3 BHK,Brooke Bond First Cross,1720,3.0,1.0,95.0
Plot  Area,Ready To Move,Jalahalli East,4 Bedroom,Jalahalli East,1200,4.0,1.0,80.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,Mysore Road,1175,2.0,2.0,86.68
Super built-up  Area,Ready To Move,Nagawara Junction,1 BHK,Nagawara Junction,500,1.0,2.0,51.0
Plot  Area,Ready To Move,Dasappa Layout,5 Bedroom,Dasappa Layout,1200,5.0,2.0,85.0
Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,Electronic City Phase II,1200,1.0,0.0,295.0
Super built-up  Area,19-Jan,Hosa Road,3 BHK,Hosa Road,1893,3.0,2.0,130.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Whitefield,1430,3.0,2.0,52.0
Built-up  Area,Ready To Move,Green View Layout,2 BHK,Green View Layout,850,2.0,2.0,45.0
Super built-up  Area,17-Mar,CV Raman Nagar,2 BHK,CV Raman Nagar,1392,2.0,1.0,110.0
Super built-up  Area,21-Mar,Kanakpura Road,3 BHK,Kanakpura Road,1938,3.0,3.0,105.0
Super built-up  Area,18-Oct,Chennammanakere Achukattu,2 BHK,Chennammanakere Achukattu,1020,2.0,2.0,52.0
Plot  Area,Ready To Move,"beml layout, basaveshwara nagar",3 Bedroom,"beml layout, basaveshwara nagar",2400,2.0,1.0,360.0
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,HBR Layout,1832,3.0,2.0,160.0
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,Konanakunte,1423,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Jakkur,1432,2.0,1.0,85.0
Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,2nd Block Hrbr Layout,1350,4.0,3.0,235.0
Plot  Area,Ready To Move,BTM 2nd Stage,8 Bedroom,BTM 2nd Stage,1500,6.0,0.0,270.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,CV Raman Nagar,1480,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Kanakpura Road,1843,3.0,2.0,96.2
Plot  Area,Ready To Move,Lingarajapuram,3 Bedroom,Lingarajapuram,760,4.0,2.0,95.0
Super built-up  Area,18-Dec,Hulimavu,3 BHK,Hulimavu,1916,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,Hennur,1255,2.0,1.0,55.5
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,Yelenahalli,1160,2.0,2.0,44.08
Super built-up  Area,18-Jun,Old Madras Road,2 BHK,Old Madras Road,2640,2.0,1.0,170.0
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Bommanahalli,1160,2.0,3.0,53.0
